x,y,z,roll,pitch,yaw,time
-6.0,2.0,0,0,0,0,0
-6.0,10.0,0,0,0,0,4.0
-6.0,18.0,0,0,0,0,8.0
2.0,26.0,0,0,0,0,13.65685424949238
-6.0,42.0,0,0,0,0,22.60112615949154
-6.0,50.0,0,0,0,0,26.60112615949154
2.0,58.0,0,0,0,0,32.25798040898392
-6.0,2.0,0,0,0,0,60.54225165644582
-6.0,34.0,0,0,0,0,76.54225165644581
10.0,58.0,0,0,0,0,90.96445675830176
2.0,-6.0,0,0,0,0,123.21348775149596
18.0,50.0,0,0,0,0,152.33392730861803
10.0,-6.0,0,0,0,0,180.61819855607993
26.0,50.0,0,0,0,0,209.738638113202
18.0,2.0,0,0,0,0,234.06968823439487
34.0,58.0,0,0,0,0,263.19012779151694
26.0,-6.0,0,0,0,0,295.43915878471114
42.0,58.0,0,0,0,0,328.42400378965243
34.0,-6.0,0,0,0,0,360.6730347828466
50.0,18.0,0,0,0,0,375.0952398847026
50.0,50.0,0,0,0,0,391.0952398847026
42.0,-6.0,0,0,0,0,419.3795111321645
50.0,10.0,0,0,0,0,428.32378304216365
58.0,18.0,0,0,0,0,433.980637291656
50.0,2.0,0,0,0,0,442.92490920165517
42.0,26.0,0,0,0,0,455.5740198423287
58.0,50.0,0,0,0,0,469.9962249441847
50.0,42.0,0,0,0,0,475.65307919367706
50.0,2.0,0,0,0,0,495.65307919367706
58.0,26.0,0,0,0,0,508.3021898343506
50.0,26.0,0,0,0,0,512.3021898343507
66.0,58.0,0,0,0,0,530.190733654349
58.0,-6.0,0,0,0,0,562.4397646475431
74.0,58.0,0,0,0,0,595.4246096524844
66.0,-6.0,0,0,0,0,627.6736406456786
82.0,50.0,0,0,0,0,656.7940802028006
82.0,2.0,0,0,0,0,680.7940802028006
74.0,2.0,0,0,0,0,684.7940802028006
82.0,58.0,0,0,0,0,713.0783514502625
82.0,42.0,0,0,0,0,721.0783514502625
90.0,58.0,0,0,0,0,730.0226233602617
82.0,-6.0,0,0,0,0,762.2716543534559
98.0,58.0,0,0,0,0,795.2564993583971
90.0,-6.0,0,0,0,0,827.5055303515913
106.0,50.0,0,0,0,0,856.6259699087134
98.0,-6.0,0,0,0,0,884.9102411561753
106.0,2.0,0,0,0,0,890.5670954056677
106.0,10.0,0,0,0,0,894.5670954056677
106.0,18.0,0,0,0,0,898.5670954056677
106.0,26.0,0,0,0,0,902.5670954056677
106.0,34.0,0,0,0,0,906.5670954056677
106.0,42.0,0,0,0,0,910.5670954056677
