,,,,,,,,,loop)
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,-6,2,,,,,,,
,2,-6,,,,,,,
,10,-6,,,,,,,
,18,-6,,,,,,,
,26,-6,,,,,,,
,42,-6,,,,,,,
,50,2,,,,,,,
,50,18,,,,,,,
,58,26,,,,,,,
,58,34,,,,,,,
,50,26,,,,,,,
,42,34,,,,,,,
,42,26,,,,,,,
,42,18,,,,,,,
,50,10,,,,,,,
,50,2,,,,,,,
,58,-6,,,,,,,
,66,-6,,,,,,,
,74,2,,,,,,,
,82,2,,,,,,,
,82,-6,,,,,,,
,90,-6,,,,,,,
,98,-6,,,,,,,
,106,2,,,,,,,
,106,10,,,,,,,
,106,18,,,,,,,
,106,26,,,,,,,
,106,34,,,,,,,
,106,42,,,,,,,
,106,50,,,,,,,
,98,58,,,,,,,
,90,58,,,,,,,
,82,50,,,,,,,
,82,42,,,,,,,
,82,58,,,,,,,
,74,58,,,,,,,
,66,58,,,,,,,
,58,50,,,,,,,
,50,42,,,,,,,
,42,50,,,,,,,
,34,58,,,,,,,
,26,50,,,,,,,
,26,42,,,,,,,
,18,50,,,,,,,
,10,58,,,,,,,
,2,58,,,,,,,
,-6,50,,,,,,,
,-6,34,,,,,,,
,-6,26,,,,,,,
,-6,18,,,,,,,
,-6,10,,,,,,,
,-6,2,,,,,,,
